title,ingredients
Citrus Sponge Cake with Strawberries,"['Potato starch ', 'vegetable oil', 'matzoh cake meal', 'potato starch', ' eggs, , ', ' sugar', 'orange juice', 'Juice lemon', 'freshly grated orange zest', 'freshly grated lemon zest', 'pure vanilla extract', 'almond extract', ' salt', 'strawberries, stemmed, washed,  ', 'orange juice', ' sugar']"
Coconut-Blueberry Cake,"['sifted self-rising flour', ' sugar', ' chilled unsalted butter, cut into pieces', 'sweetened shredded coconut, lightly toasted', 'milk', ' eggs', 'vanilla extract', ' can blueberry pie filling', 'fresh lemon juice']"
Coconut Cake with Chocolate Chunks and Coconut Drizzle,"['all purpose flour', 'baking powder', 'fine sea salt', 'unsweetened shredded coconut*', ' sugar', ' unsalted butter, ', ' finely grated orange peel', ' eggs', 'vanilla extract', 'canned unsweetened coconut milk**', 'bittersweet chocolate bars , broken -inch irregular pieces, ', 'sweetened flaked coconut', 'powdered sugar', ' canned unsweetened coconut milk**', 'vanilla extract', 'Vanilla ice cream']"
Coconut Cake with Lime Curd,"['White Lily flour or cake flour ', 'baking powder', ' salt', 'whole milk', 'fresh coconut liquid (from coconuts without any cracks  containing liquid,  or water', 'vanilla', ' unsalted butter, softened', ' sugar', ' eggs', 'egg yolks', ' sugar', 'fresh lime juice', 'heavy cream', ' cold unsalted butter, cut into pieces', 'freshly grated lime zest', 'shredded fresh coconut  or sweetened \xa0flaked coconut', 'egg whites', ' sugar', 'water', 'light corn syrup', 'freshly grated lime zest', 'fresh lime juice', 'shaved fresh coconut  sweetened flaked coconut']"
Coconut-Key Lime Sheet Cake,"['unsweetened shredded coconut', 'Nonstick vegetable oil spray', 'cake flour, plus more for pan', 'baking powder', 'kosher salt', 'virgin coconut oil, melted', 'vanilla extract', 'canned unsweetened coconut milk, ', ' sugar', ' unsalted butter, ', ' eggs', 'finely grated key lime zest', 'fresh key lime juice ', ' unsalted butter, cut into pieces, ', 'egg yolks', ' sugar', 'finely grated key lime zest', 'fresh key lime juice ', 'cold heavy cream', 'finely grated key lime zest', 'unsweetened coconut flakes']"
Coconut Mint Cream Cake,"['cake flour', 'baking powder', ' salt', 'whole milk', 'vanilla extract', 'coconut extract ', ' unsalted butter, ', ' sugar, ', 'egg whites', ' can sweetened condensed milk', ' can coconut cream', 'chopped fresh mint leaves', ' sugar', 'water', 'heavy whipping cream, chilled', 'Sweetened flaked coconut']"
Coconut Pineapple Cake,"['cake flour ', ' salt', ' eggs ', ' sugar', 'vanilla', ' unsalted butter, melted  cooled', ' can crushed pineapple, including juice', ' sugar', 'cornstarch', 'fresh lemon juice', 'water', ' sugar', 'light rum', 'Coconut buttercream', 'fresh coconut shavings  sweetened flaked coconut ']"
Coconut Rum Cake,"['all-purpose flour', 'baking powder', ' salt', ' eggs yolks', ' sugar', 'pure vanilla extract', 'unsalted butter, melted  cooled', 'well-stirred sweetened cream of coconut such as Coco López', 'coconut', 'confectioners sugar', 'cream cheese, softened', 'well-stirred sweetened cream of coconut', 'dark rum', 'pure vanilla extract', 'heavy cream', 'confectioners sugar', 'Equipment: -inch round cake pan ; an adjustable-blade slicer']"
Coconut Sour Cream Cake,"['sour cream', 'canned cream of coconut ', ' eggs', 'vegetable oil', 'fresh lemon juice', '. box white cake mix', 'flaked sweetened coconut, toasted']"
Coconut Spice Cake,"['sifted unbleached all purpose flour', 'baking powder', 'ground ginger', 'baking soda', ' salt', 'ground cinnamon', ' unsalted butter, ', ' sugar', '', 'light unsulfured molasses', 'grated orange peel', 'vanilla extract', 'buttermilk', 'shredded sweetened coconut, toasted', 'diced crystallized ginger ', 'cream cheese, ', ' unsalted butter, ', 'grated orange peel', 'vanilla extract', '-pound box powdered sugar', 'minced crystallized ginger ', 'shredded sweetened coconut, toasted', 'Tropical fruit such as pineapple, papaya  mango, cut into bite-size pieces']"
