0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
Potato starch  for dusting cake pan ,vegetable oil, matzoh cake meal, potato starch,extralarge eggs,separated,,sugar, orange juice,Juice of lemon,freshly orange zest,freshly lemon zest, pure vanilla extract, almond extract, salt,strawberries,stemmed,washed,and thinly, orange juice,sugar,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
sifted selfrising flour,plus sugar,  stick  chilled unsalted butter,into pieces, sweetened shredded coconut,lightly toasted, milk,eggs,vanilla extract,ounce can blueberry pie filling,fresh lemon juice,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
 all purpose flour,baking powder,fine sea salt,unsweetened shredded coconut , sugar,  stick  unsalted butter,, packed  finely orange peel,eggs,vanilla extract,canned unsweetened coconut milk  ,bittersweet chocolate bars  do not exceed   cacao ,broken into inch irregular pieces,divided, sweetened flaked coconut, powdered sugar, or more  canned unsweetened coconut milk  , vanilla extract,Vanilla ice cream,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
White Lily flour or cake flour  not selfrising ,baking powder,salt,whole milk, fresh coconut liquid  from about heavy coconuts without any cracks and containing liquid, procedure follows  or water, vanilla, sticks    unsalted butter,softened, sugar,eggs,egg yolks, sugar, fresh lime juice,heavy cream, stick   cold unsalted butter,into pieces,freshly lime zest,shredded fresh coconut  procedure follows  or sweetened flaked coconut,egg whites, sugar, water,light corn syrup,freshly lime zest,fresh lime juice,about shaved fresh coconut  procedure follows  or  sweetened flaked coconut,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
 unsweetened shredded coconut,Nonstick vegetable oil spray, cake flour,plus more for pan, baking powder, kosher salt, virgin coconut oil,melted, vanilla extract, canned unsweetened coconut milk,divided, sugar,   sticks  unsalted butter,,eggs,finely key lime zest, fresh key lime juice  from about key limes ,   stick  unsalted butter,into pieces,,egg yolks, sugar,finely key lime zest, fresh key lime juice  from about key limes , cold heavy cream,finely key lime zest,unsweetened coconut flakes,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
 cake flour,baking powder, salt,whole milk,vanilla extract,coconut extract  optional ,   sticks  unsalted butter,, sugar,divided,egg whites,ounce can sweetened condensed milk,ounce can coconut cream, fresh mint leaves, sugar,water, heavy whipping cream,chilled,Sweetened flaked coconut,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
cake flour  not selfrising , salt,eggs,sugar,vanilla, stick   unsalted butter,melted and cooled, ounce  can pineapple,including juice,sugar,cornstarch,fresh lemon juice, water, sugar,light rum,Coconut buttercream, fresh coconut shavings  see how to crack and shave fresh coconut  or  sweetened flaked coconut  oz package ,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
 allpurpose flour, baking powder, salt,eggs plus yolks, sugar,pure vanilla extract, sticks unsalted butter,melted and cooled, wellstirred sweetened cream of coconut such as Coco Lpez,medium coconut,confectioners sugar,cream cheese,softened,wellstirred sweetened cream of coconut,dark rum, pure vanilla extract,to heavy cream, confectioners sugar,Equipment  a inch round cake pan  inches deep   an adjustableblade slicer,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
 sour cream,canned cream of coconut  such as Coco Lpez ,eggs, vegetable oil,fresh lemon juice,ounce box white cake mix,flaked sweetened coconut,toasted,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
plus sifted unbleached all purpose flour,baking powder,ground ginger, baking soda, salt, ground cinnamon, sticks  unsalted butter,, sugar,eggs, plus light unsulfured molasses,orange peel,vanilla extract, buttermilk,shredded sweetened coconut,toasted, crystallized ginger  about  ,cream cheese,,  stick  unsalted butter,,orange peel,vanilla extract,pound box powdered sugar, crystallized ginger  scant ,shredded sweetened coconut,toasted,Tropical fruit such as pineapple,papaya and mango,into bitesize pieces,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
 fine chocolate wafer crumbs  about  wafers , stick    unsalted butter,melted, coffee ice cream,softened slightly, wellchilled heavy cream,vanilla, amaretti  Italian almond macaroons,available specialty foods shops and some supermarkets , almonds,toasted, heavy cream, firmly packed dark brown sugar,finequality bittersweet chocolate,,unsweetened chocolate,, stick    unsalted butter,softened,to Amaretto,or to taste,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
cake flour, natural unsweetened cocoa powder, baking soda, salt,   sticks  unsalted butter,, packed  golden brown sugar,eggs, vanilla extract,buttermilk,instant espresso powder dissolved in  hot water, natural unsweetened cocoa powder,instant espresso powder, chilled heavy whipping cream,divided, sugar,ounce containers chilled mascarpone cheese ,Bittersweet chocolate curls  optional ,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
allpurpose flour, chilled unsalted butter,cubed,  packed  light brown sugar, powdered sugar,instant espresso powder, kosher salt,semisweet chocolate,coarsely,unsalted butter,pecans  about  ,lightly toasted and coarsely, strong brewed coffee,granulated sugar,  stick  unsalted butter,,plus more for pan, allpurpose flour,plus more for pan,instant espresso powder,baking powder,baking soda,ground cinnamon,kosher salt, ground cardamom, strong brewed coffee,, sour cream,vanilla extract, granulated sugar,eggs plus egg yolk,,powdered sugar,coffee liqueur,sour cream,A inch tube pan,nan,nan,nan,nan,nan,nan
walnuts  about ,toasted,,divided,sugar,divided,instant espresso powder, all purpose flour,baking powder, ground cinnamon, baking soda, salt,   sticks  unsalted butter,,eggs,egg yolk, vanilla extract, buttermilk, instant espresso powder,water,chilled heavy whipping cream,   mascarpone cheese , powdered sugar, vanilla extract,  about  walnuts,toasted,, ground cinnamon,Pinch of salt, Italian cream cheese  sold many supermarkets and Italian markets ,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
