title,ingredients
Citrus Sponge Cake with Strawberries,"['Potato starch (for dusting cake pan)', '2 teaspoons vegetable oil', '1/2 cup matzoh cake meal', '3/4 cup potato starch', '8 extra-large eggs, separated, at room temperature', '1 cup sugar', '1/4 cup orange juice', 'Juice of 1 large lemon', '1 teaspoon freshly grated orange zest', '1 teaspoon freshly grated lemon zest', '1 1/2 teaspoons pure vanilla extract', '1/2 teaspoon almond extract', '1/4 teaspoon salt', '3 pints strawberries, stemmed, washed, and thinly sliced', '1/2 cup orange juice', '1 tablespoon sugar']"
Coconut-Blueberry Cake,"['2 cups sifted self-rising flour', '1 cup plus 1 tablespoon sugar', '1/2 cup (1 stick) chilled unsalted butter, cut into pieces', '2/3 cup sweetened shredded coconut, lightly toasted', '1/2 cup milk', '2 large eggs', '1 teaspoon vanilla extract', '1 21-ounce can blueberry pie filling', '2 teaspoons fresh lemon juice']"
Coconut Cake with Chocolate Chunks and Coconut Drizzle,"['1 3/4 cups all purpose flour', '2 teaspoons baking powder', '1 teaspoon fine sea salt', '1 cup unsweetened shredded coconut*', '3/4 cup sugar', '1/2 cup (1 stick) unsalted butter, room temperature', '2 teaspoons (packed) finely grated orange peel', '2 large eggs', '1 teaspoon vanilla extract', '1 cup canned unsweetened coconut milk**', '6 ounces bittersweet chocolate bars (do not exceed 61% cacao), broken into 1/2-inch irregular pieces, divided', '1/2 cup sweetened flaked coconut', '3/4 cup powdered sugar', '2 tablespoons (or more) canned unsweetened coconut milk**', '1/2 teaspoon vanilla extract', 'Vanilla ice cream']"
Coconut Cake with Lime Curd,"['3 cups White Lily flour or cake flour (not self-rising)', '1 tablespoon baking powder', '1 teaspoon salt', '1 cup whole milk', '1/2 cup fresh coconut liquid (from about 3 heavy coconuts without any cracks and containing liquid, (procedure follows) or water', '1 1/2 teaspoons vanilla', '2 1/2 sticks (1 1/4 cups) unsalted butter, softened', '1 3/4 cups sugar', '5 large eggs', '6 large egg yolks', '3/4 cup sugar', '1/2 cup fresh lime juice', '3 tablespoons heavy cream', '3/4 stick (6 tablespoons) cold unsalted butter, cut into pieces', '2 teaspoons freshly grated lime zest', '1 cup shredded fresh coconut (procedure follows) or sweetened \xa0flaked coconut', '2 large egg whites', '1 1/2 cups sugar', '1/2 cup water', '1 tablespoon light corn syrup', '1 teaspoon freshly grated lime zest', '1 teaspoon fresh lime juice', 'about 4 cups shaved fresh coconut (procedure follows) or 2 1/2 cups sweetened flaked coconut']"
Coconut-Key Lime Sheet Cake,"['1 1/2 cups unsweetened shredded coconut', 'Nonstick vegetable oil spray', '1 3/4 cups cake flour, plus more for pan', '1/2 teaspoon baking powder', '1/2 teaspoon kosher salt', '1/3 cup virgin coconut oil, melted', '1 1/2 teaspoons vanilla extract', '1 1/3 cups canned unsweetened coconut milk, divided', '1 1/2 cups sugar', '3/4 cup (1 1/2 sticks) unsalted butter, room temperature', '3 large eggs', '1 tablespoon finely grated key lime zest', '1/3 cup fresh key lime juice (from about 6 key limes)', '1/4 cup (1/2 stick) unsalted butter, cut into pieces, room temperature', '3 large egg yolks', '1/2 cup sugar', '1 teaspoon finely grated key lime zest', '1/4 cup fresh key lime juice (from about 4 key limes)', '1 1/2 cups cold heavy cream', '1 teaspoon finely grated key lime zest', '1 cup unsweetened coconut flakes']"
Coconut Mint Cream Cake,"['2 3/4 cups cake flour', '4 teaspoons baking powder', '3/4 teaspoon salt', '1 cup whole milk', '1 teaspoon vanilla extract', '1 teaspoon coconut extract (optional)', '3/4 cup (1 1/2 sticks) unsalted butter, room temperature', '1 1/2 cups sugar, divided', '4 large egg whites', '1 14-ounce can sweetened condensed milk', '1 14-ounce can coconut cream', '1/3 cup chopped fresh mint leaves', '1/4 cup sugar', '3 tablespoons water', '1 1/2 cups heavy whipping cream, chilled', 'Sweetened flaked coconut']"
Coconut Pineapple Cake,"['1 cup cake flour (not self-rising)', '1/2 teaspoon salt', '6 large eggs at room temperature', '1 cup sugar', '2 teaspoons vanilla', '3/4 stick (6 tablespoons) unsalted butter, melted and cooled', '1 (20-ounce) can crushed pineapple, including juice', '2 tablespoons sugar', '1 tablespoon cornstarch', '1 teaspoon fresh lemon juice', '2/3 cup water', '1/4 cup sugar', '3 tablespoons light rum', 'Coconut buttercream', '3 1/2 cups fresh coconut shavings (see how to crack and shave fresh coconut ) or 2 2/3 cups sweetened flaked coconut (7-oz package)']"
Coconut Rum Cake,"['1 1/4 cups all-purpose flour', '1 1/2 teaspoons baking powder', '1/4 teaspoon salt', '4 large eggs plus 3 large yolks', '1 1/2 cups sugar', '1 teaspoon pure vanilla extract', '1 1/2 sticks unsalted butter, melted and cooled', '3/4 cup well-stirred sweetened cream of coconut such as Coco LÃ³pez', '1 medium coconut', '2 teaspoons confectioners sugar', '3 tablespoons cream cheese, softened', '3 tablespoons well-stirred sweetened cream of coconut', '1 tablespoon dark rum', '3/4 teaspoon pure vanilla extract', '2 to 3 tablespoons heavy cream', '1/2 cup confectioners sugar', 'Equipment: a 9-inch round cake pan (2 inches deep); an adjustable-blade slicer']"
Coconut Sour Cream Cake,"['1 1/4 cups sour cream', '1 cup canned cream of coconut (such as Coco LÃ³pez)', '3 large eggs', '1/4 cup vegetable oil', '1 tablespoon fresh lemon juice', '1 18.25-ounce box white cake mix', '2 cups flaked sweetened coconut, toasted']"
Coconut Spice Cake,"['2 cups plus 3 tablespoons sifted unbleached all purpose flour', '2 teaspoons baking powder', '1 teaspoon ground ginger', '3/4 teaspoon baking soda', '3/4 teaspoon salt', '3/4 teaspoon ground cinnamon', '1 cup (2 sticks) unsalted butter, room temperature', '3/4 cup sugar', '2 eggs', '1/2 cup plus 2 tablespoons light unsulfured molasses', '2 tablespoons grated orange peel', '1 teaspoon vanilla extract', '3/4 cup buttermilk', '1 cup shredded sweetened coconut, toasted', '1/2 cup diced crystallized ginger (about 2 1/2 ounces)', '8 ounces cream cheese, room temperature', '1/2 cup (1 stick) unsalted butter, room temperature', '2 tablespoons grated orange peel', '1 teaspoon vanilla extract', '1 1-pound box powdered sugar', '1/3 cup minced crystallized ginger (scant 2 ounces)', '1 cup shredded sweetened coconut, toasted', 'Tropical fruit such as pineapple, papaya and mango, cut into bite-size pieces']"
Coffee Almond Ice-Cream Cake with Dark Chocolate Sauce,"['1 1/2 cups fine chocolate wafer crumbs (about 30 wafers)', '1/2 stick (1/4 cup) unsalted butter, melted', '1 1/2 pints coffee ice cream, softened slightly', '1 1/2 cups well-chilled heavy cream', '1 teaspoon vanilla', '1 1/2 cups crushed amaretti (Italian almond macaroons, available at specialty foods shops and some supermarkets)', '1/2 cup sliced almonds, toasted', '1 1/2 cups heavy cream', '2/3 cup firmly packed dark brown sugar', '4 ounces fine-quality bittersweet chocolate, chopped', '3 ounces unsweetened chocolate, chopped', '1/2 stick (1/4 cup) unsalted butter, softened', '3 to 4 tablespoons Amaretto, or to taste']"
Coffee-Chocolate Layer Cake with Mocha-Mascarpone Frosting,"['2 cups cake flour', '3/4 cup natural unsweetened cocoa powder', '1 1/2 teaspoons baking soda', '3/4 teaspoon salt', '3/4 cup (1 1/2 sticks) unsalted butter, room temperature', '2 cups (packed) golden brown sugar', '3 large eggs', '11/2 teaspoons vanilla extract', '1 cup buttermilk', '4 teaspoons instant espresso powder dissolved in 3/4 cup hot water', '1/3 cup natural unsweetened cocoa powder', '1 tablespoon instant espresso powder', '1 1/2 cups chilled heavy whipping cream, divided', '1 1/3 cups sugar', '2 8-ounce containers chilled mascarpone cheese*', 'Bittersweet chocolate curls (optional)']"
Coffee Coffee Coffee Cake,"['1 cup all-purpose flour', '3/4 cup chilled unsalted butter, cubed', '1/4 cup (packed) light brown sugar', '1/4 cup powdered sugar', '2 teaspoons instant espresso powder', '1/4 teaspoon kosher salt', '6 ounces semisweet chocolate, coarsely chopped', '2 tablespoons unsalted butter', '4 ounces pecans (about 3/4 cup), lightly toasted and coarsely chopped', '1/4 cup strong brewed coffee', '1 tablespoon granulated sugar', '1/2 cup (1 stick) unsalted butter, room temperature, plus more for pan', '2 1/2 cups all-purpose flour, plus more for pan', '2 tablespoons instant espresso powder', '1 teaspoon baking powder', '1 teaspoon baking soda', '1 teaspoon ground cinnamon', '1 teaspoon kosher salt', '1/4 teaspoon ground cardamom', '3/4 cup strong brewed coffee, room temperature', '1/2 cup sour cream', '1 teaspoon vanilla extract', '1 1/4 cups granulated sugar', '3 large eggs plus 1 egg yolk, room temperature', '1 cup powdered sugar', '2 tablespoons coffee liqueur', '1 tablespoon sour cream', 'A 10-inch tube pan']"
Coffee-Walnut Cake with Coffee-Mascarpone Cream,"['1 cup walnuts (about 4 ounces), toasted, chopped, divided', '1 cup sugar, divided', '1 tablespoon instant espresso powder', '1 1/3 cups all purpose flour', '2 teaspoons baking powder', '1/2 teaspoon ground cinnamon', '1/4 teaspoon baking soda', '1/4 teaspoon salt', '10 tablespoons (1 1/4 sticks) unsalted butter, room temperature', '3 large eggs', '1 large egg yolk', '1/2 teaspoon vanilla extract', '3/4 cup buttermilk', '4 1/2 teaspoons instant espresso powder', '1 tablespoon water', '1 cup chilled heavy whipping cream', '1/2 cup (4 ounces) mascarpone cheese*', '1/2 cup powdered sugar', '1/2 teaspoon vanilla extract', '3/4 cup (about 3 ounces) walnuts, toasted, chopped', '1/4 teaspoon ground cinnamon', 'Pinch of salt', '*Italian cream cheese; sold at many supermarkets and at Italian markets.']"
Cornmeal Cake with Black Cherry Compote,"['Yellow cornmeal', '1/2 vanilla bean, split lengthwise', ""2 cups fresh goat's milk or whole milk"", '1/4 cup (1/2 stick) unsalted butter', '1 teaspoon grated lemon peel', '3/4 teaspoon salt', '1 cup yellow cornmeal', '1/4 cup honey', '5 tablespoons sugar', '4 large eggs, separated', 'Black Cherry Compote']"
