ingredients,title_directions
"'Potato starch (for dusting cake pan)', '2 teaspoons vegetable oil', '1/2 cup matzoh cake meal', '3/4 cup potato starch', '8 extra-large eggs, separated, at room temperature', '1 cup sugar', '1/4 cup orange juice', 'Juice of 1 large lemon', '1 teaspoon freshly grated orange zest', '1 teaspoon freshly grated lemon zest', '1 1/2 teaspoons pure vanilla extract', '1/2 teaspoon almond extract', '1/4 teaspoon salt', '3 pints strawberries, stemmed, washed, and thinly sliced', '1/2 cup orange juice', '1 tablespoon sugar'","""Citrus Sponge Cake with Strawberries""'1. Preheat the oven to 350°F. Lightly grease a 9-inch springform pan with the oil and dust with potato starch.', '2. Sift the cake meal and potato starch together over a piece of foil and set aside.', '3. In the bowl of an electric mixer, beat the egg yolks on medium speed for 3 minutes, until golden yellow and thick. Add the sugar slowly. Continue to beat 3 minutes more.', '4. With the mixer on low, gradually add the orange juice, lemon juice, orange zest, and lemon zest. Add the vanilla and almond extract. Gradually add the matzo meal mixture to the batter. Mix gently until well blended.', '5. In a clean bowl, beat the egg whites with the whisk attachment of the electric mixer until foamy. Add the salt and beat until the whites hold glossy peaks. Gently fold the egg whites into cake batter with a spatula. Pour the batter into the springform pan and bake for about 50 minutes, or until a cake tester comes out clean. Cool the cake in the pan, then loosen the sides. Cool completely.', '6. Cut the cake into 12 wedges, or carefully slice the cake in half horizontally with a serrated knife and cut into 6 wedges to make 12 total wedges.', '7. Toss the strawberries with the orange juice and sugar 30 minutes before serving the cake. Spoon the strawberries over each cake wedge and serve.'"
"'2 cups sifted self-rising flour', '1 cup plus 1 tablespoon sugar', '1/2 cup (1 stick) chilled unsalted butter, cut into pieces', '2/3 cup sweetened shredded coconut, lightly toasted', '1/2 cup milk', '2 large eggs', '1 teaspoon vanilla extract', '1 21-ounce can blueberry pie filling', '2 teaspoons fresh lemon juice'","""Coconut-Blueberry Cake""'Preheat oven to 325°F. Butter 13x9x2-inch baking pan. Combine flour and 1 cup sugar in large bowl. Add butter and rub in with fingertips until mixture resembles coarse meal. Transfer 1/2 cup coarse meal to small bowl. Mix in coconut and reserve for topping.', 'Beat milk, eggs and vanilla extract in another small bowl to blend. Mix into coarse meal in large bowl. Spread batter in prepared pan. Blend blueberry pie filling, lemon juice and remaining 1 tablespoon sugar in medium bowl. Spoon evenly over batter in pan. Sprinkle topping over batter.', 'Bake cake until tester inserted into center comes out clean, about 45 minutes. Cool cake in pan on rack.'"
"'1 3/4 cups all purpose flour', '2 teaspoons baking powder', '1 teaspoon fine sea salt', '1 cup unsweetened shredded coconut*', '3/4 cup sugar', '1/2 cup (1 stick) unsalted butter, room temperature', '2 teaspoons (packed) finely grated orange peel', '2 large eggs', '1 teaspoon vanilla extract', '1 cup canned unsweetened coconut milk**', '6 ounces bittersweet chocolate bars (do not exceed 61% cacao), broken into 1/2-inch irregular pieces, divided', '1/2 cup sweetened flaked coconut', '3/4 cup powdered sugar', '2 tablespoons (or more) canned unsweetened coconut milk**', '1/2 teaspoon vanilla extract', 'Vanilla ice cream'","""Coconut Cake with Chocolate Chunks and Coconut Drizzle""'Preheat oven to 350°F. Generously butter 9-inch-diameter cake pan with 2-inch-high sides; dust pan with flour, shaking out excess. Sift 1 3/4 cups flour, baking powder, and sea salt into medium bowl. Stir in unsweetened shredded coconut and set aside. Using electric mixer, beat sugar, butter, and orange peel in large bowl until light and fluffy. Add eggs 1 at a time, beating well after each addition. Beat in vanilla. Add flour mixture in 3 additions alternately with coconut milk in 2 additions, beating just until blended after each addition. Fold in half of bittersweet chocolate pieces. Spread batter evenly in prepared cake pan. Sprinkle remaining chocolate pieces over batter, then sprinkle with sweetened flaked coconut.', 'Bake cake until golden and tester inserted into center comes out clean, tenting with sheet of foil if coconut atop cake is browning too quickly, 60 to 70 minutes. Transfer cake to rack and cool in pan 45 minutes.', 'Whisk powdered sugar, 2 tablespoons unsweetened coconut milk, and vanilla in small bowl to blend well, adding more coconut milk by 1/2 teaspoonfuls until mixture is thin enough to drizzle over cake.', 'Carefully run small knife around sides of cake to loosen. Invert cake onto platter, then carefully invert again onto another platter, coconut side up. Using small spoon, drizzle powdered sugar mixture decoratively over cake. Cool cake completely on platter. DO AHEAD Cake can be made up to 1 day ahead. Cover cake and let stand at room temperature.', 'Cut cake into wedges and serve with vanilla ice cream.', 'Available at specialty foods stores and natural foods stores.', '** Sold at many supermarkets and at Indian, Southeast Asian, and Latin markets. If unavailable, use 1 cup half and half mixed with 1/2 teaspoon imitation coconut extract.'"
"'3 cups White Lily flour or cake flour (not self-rising)', '1 tablespoon baking powder', '1 teaspoon salt', '1 cup whole milk', '1/2 cup fresh coconut liquid (from about 3 heavy coconuts without any cracks and containing liquid, (procedure follows) or water', '1 1/2 teaspoons vanilla', '2 1/2 sticks (1 1/4 cups) unsalted butter, softened', '1 3/4 cups sugar', '5 large eggs', '6 large egg yolks', '3/4 cup sugar', '1/2 cup fresh lime juice', '3 tablespoons heavy cream', '3/4 stick (6 tablespoons) cold unsalted butter, cut into pieces', '2 teaspoons freshly grated lime zest', '1 cup shredded fresh coconut (procedure follows) or sweetened \xa0flaked coconut', '2 large egg whites', '1 1/2 cups sugar', '1/2 cup water', '1 tablespoon light corn syrup', '1 teaspoon freshly grated lime zest', '1 teaspoon fresh lime juice', 'about 4 cups shaved fresh coconut (procedure follows) or 2 1/2 cups sweetened flaked coconut'","""Coconut Cake with Lime Curd""'Preheat oven to 350°F. Line bottoms of three buttered 9- by 2-inch round cake pans with rounds of wax paper or parchment paper and butter paper. Dust pans with flour, knocking out excess.', 'In a bowl whisk together flour, baking powder, and salt. In a glass measure stir together milk, coconut liquid or water, and vanilla. In a large bowl with an electric mixer beat butter on medium speed 1 minute and add sugar in a slow stream, beating. Beat mixture scraping bowl occasionally, until light and fluffy, about 2 minutes. Beat in eggs 1 at a time, beating well after each addition. Reduce speed to low and beat in flour mixture in 4 batches alternately with milk mixture, beginning and ending with flour mixture and scraping bowl occasionally, until batter is just combined (do not overbeat).', 'Divide batter among pans, smoothing tops and tapping pans on counter to allow any air bubbles to escape. Bake cake layers in middle and lower thirds of oven (arrange pans so they overlap only slightly) until a tester inserted in center comes out clean, about 30 minutes. Run a thin knife around edges of pans and invert cake layers onto racks. Remove wax paper carefully and cool cake layers completely. Cake layers may be made 1 day ahead and kept, wrapped in plastic wrap, in an airtight container in a cool dry place. (Alternatively, cake layers may be made 5 days ahead and frozen wrapped in plastic wrap and foil. Thaw cake layers in refrigerator 1 day before proceeding.)', 'In a heavy saucepan whisk together yolks, sugar, lime juice, cream, and butter and cook over moderately low heat, whisking constantly, 5 to 7 minutes, or until mixture just reaches a boil (do not let boil). Strain curd through a fine sieve into a bowl and stir in zest. Cool curd its surface covered with plastic wrap, and chill at least 4 hours and up to 2 days.', 'Put 1 cake layer on a cake plate and spread evenly with about half of lime curd. Sprinkle with 1/2 cup shredded fresh or sweetened flaked coconut and chill 15 minutes. Repeat layering in same manner with another cake layer, remaining lime curd, and remaining 1/2 cup coconut and top with remaining cake layer. Chill cake 15 minutes.', 'In top of a double boiler off heat or in a large metal bowl with a hand-held electric mixer beat together frosting ingredients until combined. In double boiler or in bowl set over a saucepan of boiling water beat mixture on high speed until it holds stiff glossy peaks, about 7 minutes. (Depending on mixer and weather, this may take longer.) Remove top of double boiler or bowl from heat and beat frosting until cool and spreadable.', 'Frost cake and coat with shaved fresh or sweetened flaked coconut.', 'Pierce softest eye of each coconut with a metal skewer or small screwdriver and working over a bowl shake coconut, draining liquid and reserving coconut for shredding or shaving (procedure follows). Makes about a scant 3/4 cup liquid.', 'Preheat oven to 400°F.', 'Bake reserved drained coconuts in oven 15 minutes', 'With a hammer or back of a heavy cleaver, break shells and remove meat, levering it out carefully with point of a strong knife or small screwdriver. Remove brown membrane with a sharp paring knife or vegetable peeler.', 'In a food processor fitted with fine shredding blade shred coconut meat from about 1 coconut in batches or shred by hand on fine shredding side (small tear-shaped holes) of a 4 sided grater until you have about 1 cup, reserving remaining coconut meat for another use.', 'With a vegetable peeler shave edges of coconut meat pieces until you have about 3 1/2 cups, reserving remaining coconut meat for another use. Coconuts may be shredded or shaved 1 day ahead and chilled in a sealable plastic bag.'"
"'1 1/2 cups unsweetened shredded coconut', 'Nonstick vegetable oil spray', '1 3/4 cups cake flour, plus more for pan', '1/2 teaspoon baking powder', '1/2 teaspoon kosher salt', '1/3 cup virgin coconut oil, melted', '1 1/2 teaspoons vanilla extract', '1 1/3 cups canned unsweetened coconut milk, divided', '1 1/2 cups sugar', '3/4 cup (1 1/2 sticks) unsalted butter, room temperature', '3 large eggs', '1 tablespoon finely grated key lime zest', '1/3 cup fresh key lime juice (from about 6 key limes)', '1/4 cup (1/2 stick) unsalted butter, cut into pieces, room temperature', '3 large egg yolks', '1/2 cup sugar', '1 teaspoon finely grated key lime zest', '1/4 cup fresh key lime juice (from about 4 key limes)', '1 1/2 cups cold heavy cream', '1 teaspoon finely grated key lime zest', '1 cup unsweetened coconut flakes'","""Coconut-Key Lime Sheet Cake""'Position rack in middle of oven; preheat to 350°F. Spread coconut in a single layer on a rimmed baking sheet and toast until golden brown and aromatic, 3–5 minutes. Let cool 5 minutes.', 'Meanwhile, coat a 13x9"" pan with nonstick spray. Dust with flour, tapping out any excess.', 'Whisk toasted coconut, baking powder, salt, and 1 3/4 cups flour in a medium bowl. Mix coconut oil, vanilla, and 2/3 cup coconut milk in another medium bowl.', 'Cream sugar and butter in the bowl of a stand mixer fitted with the paddle attachment at medium speed, occasionally scraping down sides of bowl, until pale and fluffy, 3–4 minutes. Add eggs, one at a time, beating to blend after each addition. Reduce mixer speed to low and beat in dry ingredients in 3 additions, alternating with coconut milk mixture in 2 additions, beginning and ending with dry ingredients. Pour batter into prepared pan, smoothing top with a spatula.', 'Bake cake until top is set and golden brown and a tester inserted into the center comes out clean, 25–30 minutes.', 'Mix key lime zest, juice, and remaining 2/3 cup coconut milk in a small bowl (it\'s okay if mixture separates slightly; it will be absorbed by cake). Using a skewer, poke holes every 2"" into warm cake. Slowly pour key lime zest mixture over cake. Transfer pan to a wire rack and let cake cool completely.', 'Pour water into a medium pot to a depth of 2"". Bring to a simmer over medium heat. Place butter in a large bowl.', 'Whisk egg yolks and sugar in a heatproof medium bowl. Whisk in key lime zest and juice. Set bowl on saucepan, making sure bottom does not touch water. Cook, whisking occasionally, until mixture is thick enough to coat the back of a spoon and an instant-read thermometer registers 175°F, 3–4 minutes.', 'Strain egg yolk mixture through a fine-mesh sieve over butter, then stir with a rubber spatula until smooth. Place a piece of plastic wrap directly on key lime curd and chill at least 30 minutes.', 'Using an electric mixer on medium speed, beat cream in a large bowl until stiff peaks form. Gently fold in chilled key lime curd and key lime zest. Spread cream on cooled cake with a spatula, then chill 30 minutes to set cream.', 'Meanwhile, preheat oven to 350°F. Spread coconut flakes in a single layer on rimmed baking sheet and toast, tossing halfway through, until crispy and golden, 5–7 minutes. Let cool.', 'When ready to serve, sprinkle toasted coconut flakes over cake.', 'Lime curd can be made 1 week ahead. Store in an airtight container and chill, or freeze up to 4 months.'"
"'2 3/4 cups cake flour', '4 teaspoons baking powder', '3/4 teaspoon salt', '1 cup whole milk', '1 teaspoon vanilla extract', '1 teaspoon coconut extract (optional)', '3/4 cup (1 1/2 sticks) unsalted butter, room temperature', '1 1/2 cups sugar, divided', '4 large egg whites', '1 14-ounce can sweetened condensed milk', '1 14-ounce can coconut cream', '1/3 cup chopped fresh mint leaves', '1/4 cup sugar', '3 tablespoons water', '1 1/2 cups heavy whipping cream, chilled', 'Sweetened flaked coconut'","""Coconut Mint Cream Cake""'Preheat oven to 350°F. Butter two 8-inch-diameter cake pans with 2-inch-high sides; dust with flour. Place round of parchment paper in each pan.', 'Sift cake flour, baking powder, and salt into medium bowl. Mix milk, vanilla extract, and coconut extract in small bowl.', 'Beat butter and 1 cup sugar in large bowl until well blended. Beat in flour mixture alternately with milk mixture in several batches, beginning and ending with flour mixture and beating just to blend after each addition.', 'With clean dry beaters, beat egg whites in another large bowl until soft peaks form. Gradually add remaining 1/2 cup sugar and beat until stiff but not dry peaks form. Fold egg whites into batter in 3 additions.', 'Divide batter between prepared pans. Bake until tester inserted into center of cakes comes out clean, about 35 minutes.', 'Meanwhile, combine condensed milk and coconut cream in medium bowl.', 'Remove cakes from oven and let cool 5 minutes. Poke holes all over top of each cake layer with skewer. Pour coconut cream mixture by half cupfuls over cakes, allowing mixture to be absorbed before adding more. Cool completely in pans.', 'Stir 1/3 cup mint, sugar, and 3 tablespoons water in small saucepan over low heat until sugar dissolves. Cook just until bubbles appear. Cover and remove from heat; let steep 30 minutes.', 'Strain syrup into large bowl, pressing on mint. Cool completely. Add 1 1/2 cups chilled whipping cream to syrup and beat until firm peaks form. Turn cakes out of pans onto separate plates. Peel off parchment.', 'Spread 1 cup mint whipped cream on 1 cake layer. Top with second cake layer. Spread remaining mint whipped cream over top and sides of cake. Sprinkle with sweetened coconut. DO AHEAD: Can be made 1 day ahead. Cover with cake dome and refrigerate.'"
"'1 cup cake flour (not self-rising)', '1/2 teaspoon salt', '6 large eggs at room temperature', '1 cup sugar', '2 teaspoons vanilla', '3/4 stick (6 tablespoons) unsalted butter, melted and cooled', '1 (20-ounce) can crushed pineapple, including juice', '2 tablespoons sugar', '1 tablespoon cornstarch', '1 teaspoon fresh lemon juice', '2/3 cup water', '1/4 cup sugar', '3 tablespoons light rum', 'Coconut buttercream', '3 1/2 cups fresh coconut shavings (see how to crack and shave fresh coconut ) or 2 2/3 cups sweetened flaked coconut (7-oz package)'","""Coconut Pineapple Cake""'Preheat oven to 350°F and butter 2 (8-inch) square cake pans (2 inches deep).', 'Sift flour with salt into a bowl.', 'Heat eggs and sugar in large metal bowl set over a pot of simmering water, gently whisking constantly, until lukewarm.', 'Remove bowl from heat and add vanilla, then beat with an electric mixer at medium-high speed until thick and pale and tripled in volume (about 5 minutes with a standing mixer or 10 minutes with a hand held). Sift flour and salt over eggs in 2 batches, folding gently but thoroughly after each batch. Fold in melted butter until combined. Divide batter evenly between cake pans, smoothing tops.', 'Bake cakes in middle of oven until a tester comes out clean and cakes are golden, about 15 minutes. Cool in pans on racks 5 minutes, then invert onto racks to cool completely.', 'Stir together filling ingredients in a heavy saucepan until cornstarch is dissolved. Bring to a boil, stirring constantly, then simmer, stirring, 3 minutes. Cool filling completely, stirring occasionally.', 'Bring water and sugar to a boil in a small heavy saucepan, stirring until sugar is dissolved. Remove from heat and stir in rum. Transfer to a small bowl and chill until ready to use.', 'Trim edges of cakes if necessary and cut each horizontally in half with a long serrated knife to form a total of 4 thin layers. Put 1 cake layer, cut side up, on a cake plate and brush top with some rum syrup, then spread half of pineapple filling over it. Top with another cake layer and brush with syrup, then spread with about 2/3 cup butter cream. Top with a third cake layer and brush with syrup, then spread remaining pineapple over it. Top with fourth layer, cut side down, and brush with remaining syrup. Frost sides and top of cake with remaining butter cream, then coat with coconut.'"
"'1 1/4 cups all-purpose flour', '1 1/2 teaspoons baking powder', '1/4 teaspoon salt', '4 large eggs plus 3 large yolks', '1 1/2 cups sugar', '1 teaspoon pure vanilla extract', '1 1/2 sticks unsalted butter, melted and cooled', '3/4 cup well-stirred sweetened cream of coconut such as Coco López', '1 medium coconut', '2 teaspoons confectioners sugar', '3 tablespoons cream cheese, softened', '3 tablespoons well-stirred sweetened cream of coconut', '1 tablespoon dark rum', '3/4 teaspoon pure vanilla extract', '2 to 3 tablespoons heavy cream', '1/2 cup confectioners sugar', 'Equipment: a 9-inch round cake pan (2 inches deep); an adjustable-blade slicer'","""Coconut Rum Cake""'Preheat oven to 350°F with rack in middle. Lightly butter cake pan and line bottom with a round of parchment paper. Lightly butter parchment, then flour pan.', 'Whisk together flour (1 1/4 cups), baking powder, and salt.', 'Whisk together whole eggs and yolks, sugar, and vanilla in a large bowl. Gradually whisk in flour mixture until combined, then whisk in butter until just combined. Pour into cake pan and rap pan on counter to expel air bubbles.', 'Bake until golden brown and cake starts to pull away from side of pan, about 45 minutes. Cool in pan on a rack 10 minutes. (Leave oven on.) Invert cake onto rack (discard parchment) and cool 10 minutes more. Generously brush top and side of warm cake with cream of coconut, allowing it to soak in before brushing on more. Cool completely.', 'Pierce softest eye of coconut with a small screwdriver, then drain and discard liquid. Bake coconut in a shallow baking pan 15 minutes. (Leave oven on.) Break shell with a hammer, then pry flesh from shell with screwdriver.', 'Thinly shave enough coconut with slicer to measure 2 cups and toss with confectioners sugar, then spread in 1 layer on a baking sheet. Bake until just dry but not golden (some tips may color), 5 to 10 minutes. (Shave and bake remaining coconut with more confectioners sugar to serve on the side, or freeze for another use.) Cool coconut completely. (It will crisp as it cools.)', 'Beat together cream cheese, cream of coconut, rum, vanilla, and 2 tablespoons cream with an electric mixer until smooth, then beat in confectioners sugar. Icing should be smooth and slightly runny; stir in remaining tablespoon cream if necessary.', 'Smooth icing over top of cooled cake, allowing some to drip over side, then top with coconut slivers.'"
"'1 1/4 cups sour cream', '1 cup canned cream of coconut (such as Coco López)', '3 large eggs', '1/4 cup vegetable oil', '1 tablespoon fresh lemon juice', '1 18.25-ounce box white cake mix', '2 cups flaked sweetened coconut, toasted'","""Coconut Sour Cream Cake""'Preheat oven to 350°F. Butter 13x9x2-inch baking pan. Dust pan with flour. Combine 1 cup sour cream, 3/4 cup cream of coconut, eggs, vegetable oil and fresh lemon juice in large bowl and whisk to blend. Add white cake mix and blend well. Transfer batter to prepared pan.', 'Bake cake until top is golden brown and tester inserted into center comes out clean, about 35 minutes.', 'Meanwhile, blend remaining 1/4 cup sour cream and remaining 1/4 cup cream of coconut in small bowl. Spread mixture evenly over warm cake. Return cake to oven; bake 5 minutes longer. Sprinkle coconut over. Place pan on rack and cool cake completely.'"
"'2 cups plus 3 tablespoons sifted unbleached all purpose flour', '2 teaspoons baking powder', '1 teaspoon ground ginger', '3/4 teaspoon baking soda', '3/4 teaspoon salt', '3/4 teaspoon ground cinnamon', '1 cup (2 sticks) unsalted butter, room temperature', '3/4 cup sugar', '2 eggs', '1/2 cup plus 2 tablespoons light unsulfured molasses', '2 tablespoons grated orange peel', '1 teaspoon vanilla extract', '3/4 cup buttermilk', '1 cup shredded sweetened coconut, toasted', '1/2 cup diced crystallized ginger (about 2 1/2 ounces)', '8 ounces cream cheese, room temperature', '1/2 cup (1 stick) unsalted butter, room temperature', '2 tablespoons grated orange peel', '1 teaspoon vanilla extract', '1 1-pound box powdered sugar', '1/3 cup minced crystallized ginger (scant 2 ounces)', '1 cup shredded sweetened coconut, toasted', 'Tropical fruit such as pineapple, papaya and mango, cut into bite-size pieces'","""Coconut Spice Cake""'Preheat oven to 350°F. Butter two 9-inch-diameter cake pans with 1 1/2-inch-high sides. Line bottoms with parchment. Butter parchment; dust pans with flour. Sift flour, baking powder, ground ginger, baking soda, salt and ground cinnamon into medium bowl. Using electric mixer, cream unsalted butter and sugar in large bowl until fluffy. Beat in eggs 1 at a time. Add unsulfured molasses, grated orange peel and vanilla extract and beat 1 minute at high speed until well blended. Mix in dry ingredients alternately with buttermilk, beginning and ending with dry ingredients. Fold in shredded coconut and crystallized ginger.', 'Divide batter between prepared pans. Bake until cakes begin to pull away from sides of pans, about 30 minutes. Cool in pans on rack 5 minutes. Invert cakes onto racks. Remove parchment and cool completely.', 'Using electric mixer, beat cream cheese and butter until smooth. Mix in orange peel and vanilla. Beat in sugar. Mix in ginger.', 'Place 1 cake layer on platter, flat side down. Spread with some of icing. Sprinkle with 3/4 cup coconut. Top with second layer, flat side up. Spread remaining icing over top and sides of cake. Arrange remaining coconut around top edge of cake. (Can be prepared 1 day ahead. Chill until icing is set; wrap lightly with plastic and refrigerate. Bring to room temperature.) Place fruit around base of cake.'"
