index,text
0,Citrus Sponge Cake Strawberries Potato starch dust cake pan teaspoon vegetable oil cup matzoh cake meal cup potato starch extralarge egg separate room temperature cup sugar cup orange juice Juice large lemon teaspoon freshly grate orange zest teaspoon freshly grated lemon zest teaspoon pure vanilla extract teaspoon almond extract teaspoon salt pint strawberry stem wash thinly slice cup orange juice tablespoon sugar preheat oven ° F Lightly grease inch springform pan oil dust potato starch Sift cake meal potato starch piece foil set aside bowl electric mixer beat egg yolk medium speed minute golden yellow thick add sugar slowly continue beat minute mixer low gradually add orange juice lemon juice orange zest lemon zest add vanilla almond extract gradually add matzo meal mixture batter Mix gently blend clean bowl beat egg white whisk attachment electric mixer foamy add salt beat white hold glossy peak gently fold egg white cake batter spatula pour batter springform pan bake minute cake tester come clean Cool cake pan loosen side Cool completely cut cake wedge carefully slice cake half horizontally serrate knife cut wedge total wedge toss strawberry orange juice sugar minute serve cake spoon strawberry cake wedge serve
1,CoconutBlueberry Cake cup sift selfrise flour cup plus tablespoon sugar cup stick chill unsalted butter cut piece cup sweeten shred coconut lightly toast cup milk large egg teaspoon vanilla extract ounce blueberry pie filling teaspoon fresh lemon juice beat milk egg vanilla extract small bowl blend mix coarse meal large bowl spread batter prepared pan Blend blueberry pie fill lemon juice remain tablespoon sugar medium bowl spoon evenly batter pan Sprinkle top batter Bake cake tester insert center come clean minute cool cake pan rack
2,Coconut Cake Chocolate Chunks Coconut Drizzle cup purpose flour teaspoon bake powder teaspoon fine sea salt cup unsweetene shred coconut cup sugar cup stick unsalted butter room temperature teaspoon pack finely grated orange peel large egg teaspoon vanilla extract cup can unsweetened coconut milk ounce bittersweet chocolate bar exceed cacao break inch irregular piece divide cup sweeten flaked coconut cup powder sugar tablespoon can unsweetened coconut milk teaspoon vanilla extract Vanilla ice cream Bake cake golden tester insert center come clean tenting sheet foil coconut atop cake brown quickly minute transfer cake rack cool pan minute Whisk powdered sugar tablespoon unsweetene coconut milk vanilla small bowl blend add coconut milk teaspoonful mixture thin drizzle cake carefully run small knife side cake loosen Invert cake platter carefully invert platter coconut small spoon drizzle powdered sugar mixture decoratively cake Cool cake completely platter AHEAD Cake day ahead Cover cake let stand room temperature Cut cake wedge serve vanilla ice cream available specialty food store natural food store sell supermarket indian Southeast Asian latin market unavailable use cup half half mix teaspoon imitation coconut extract
3,Coconut Cake Lime Curd cup White Lily flour cake flour selfrise tablespoon bake powder teaspoon salt cup milk cup fresh coconut liquid heavy coconut crack contain liquid procedure follow water teaspoon vanilla stick cup unsalted butter soften cup sugar large egg large egg yolk cup sugar cup fresh lime juice tablespoon heavy cream stick tablespoon cold unsalted butter cut piece teaspoon freshly grated lime zest cup shred fresh coconut procedure follow sweeten   flake coconut large egg white cups sugar cup water tablespoon light corn syrup teaspoon freshly grated lime zest teaspoon fresh lime juice cup shave fresh coconut procedure follow cup sweeten flaked coconut bowl whisk flour baking powder salt glass measure stir milk coconut liquid water vanilla large bowl electric mixer beat butter medium speed minute add sugar slow stream beat Beat mixture scrape bowl occasionally light fluffy minute Beat egg time beat addition reduce speed low beat flour mixture batch alternately milk mixture begin end flour mixture scrape bowl occasionally batter combined overbeat Divide batter pan smooth top tap pan counter allow air bubble escape Bake cake layer middle low third oven arrange pan overlap slightly tester insert center come clean minute run thin knife edge pan invert cake layer rack Remove wax paper carefully cool cake layer completely cake layer day ahead keep wrap plastic wrap airtight container cool dry place alternatively cake layer day ahead freeze wrap plastic wrap foil Thaw cake layer refrigerator day proceed heavy saucepan whisk yolk sugar lime juice cream butter cook moderately low heat whisk constantly minute mixture reach boil let boil Strain curd fine sieve bowl stir zest Cool curd surface cover plastic wrap chill hour day cake layer cake plate spread evenly half lime curd Sprinkle cup shred fresh sweeten flaked coconut chill minute repeat layer manner cake layer remain lime curd remain cup coconut remain cake layer Chill cake minute double boiler heat large metal bowl handheld electric mixer beat frost ingredient combine double boiler bowl set saucepan boiling water beat mixture high speed hold stiff glossy peak minute depend mixer weather long remove double boiler bowl heat beat frost cool spreadable frost cake coat shave fresh sweeten flaked coconut Pierce softest eye coconut metal skewer small screwdriver work bowl shake coconut drain liquid reserve coconut shredding shaving procedure follow make scant cup liquid Preheat oven ° F Bake reserve drain coconut oven minute hammer heavy cleaver break shell remove meat lever carefully point strong knife small screwdriver Remove brown membrane sharp paring knife vegetable peeler food processor fit fine shredding blade shred coconut meat coconut batch shre hand fine shredding small tearshape hole sided grater cup reserving remain coconut meat use vegetable peeler shave edge coconut meat piece cup reserve remain coconut meat use Coconuts shred shave day ahead chill sealable plastic bag
4,CoconutKey Lime Sheet Cake cup unsweetene shred coconut Nonstick vegetable oil spray cups cake flour plus pan teaspoon bake powder teaspoon kosher salt cup virgin coconut oil melt teaspoon vanilla extract cup can unsweetened coconut milk divide cup sugar cup stick unsalted butter room temperature large egg tablespoon finely grate key lime zest cup fresh key lime juice key lime cup stick unsalted butter cut piece room temperature large egg yolk cup sugar teaspoon finely grate key lime zest cup fresh key lime juice key lime cup cold heavy cream teaspoon finely grate key lime zest cup unsweetene coconut flake coat x pan nonstick spray Dust flour tap excess whisk toast coconut bake powder salt cup flour medium bowl Mix coconut oil vanilla cup coconut milk medium bowl Cream sugar butter bowl stand mixer fit paddle attachment medium speed occasionally scrape side bowl pale fluffy – minute add egg time beat blend addition reduce mixer speed low beat dry ingredient addition alternate coconut milk mixture addition begin end dry ingredient Pour batter prepared pan smoothing spatula Bake cake set golden brown tester insert center come clean – minute mix key lime zest juice remain cup coconut milk small bowl okay mixture separate slightly absorb cake skewer poke hole warm cake slowly pour key lime zest mixture cake Transfer pan wire rack let cake cool completely pour water medium pot depth Bring simmer medium heat Place butter large bowl whisk egg yolk sugar heatproof medium bowl Whisk key lime zest juice Set bowl saucepan make sure touch water Cook whisk occasionally mixture thick coat spoon instantread thermometer register ° f – minute Strain egg yolk mixture finemesh sieve butter stir rubber spatula smooth Place piece plastic wrap directly key lime curd chill minute electric mixer medium speed beat cream large bowl stiff peak form gently fold chill key lime curd key lime zest Spread cream cool cake spatula chill minute set cream preheat oven ° F Spread coconut flake single layer rimmed bake sheet toast tossing halfway crispy golden – minute let cool ready serve sprinkle toast coconut flake cake Lime curd week ahead store airtight container chill freeze month
5,Coconut Mint Cream Cake cup cake flour teaspoon bake powder teaspoon salt cup milk teaspoon vanilla extract teaspoon coconut extract optional cup stick unsalted butter room temperature cup sugar divide large egg white ounce sweeten condense milk ounce coconut cream cup chop fresh mint leave cup sugar tablespoon water cup heavy whipping cream chill Sweetened flaked coconut Sift cake flour baking powder salt medium bowl mix milk vanilla extract coconut extract small bowl Beat butter cup sugar large bowl blend Beat flour mixture alternately milk mixture batch begin end flour mixture beat blend addition clean dry beater beat egg white large bowl soft peak form gradually add remain cup sugar beat stiff dry peak form Fold egg white batter addition divide batter prepared pan Bake tester insert center cake come clean minute combine condense milk coconut cream medium bowl Remove cake oven let cool minute Poke hole cake layer skewer Pour coconut cream mixture half cupful cake allow mixture absorb add Cool completely pan Stir cup mint sugar tablespoon water small saucepan low heat sugar dissolve Cook bubble appear Cover remove heat let steep minute Strain syrup large bowl press mint Cool completely Add cup chill whip cream syrup beat firm peak form turn cake pan separate plate Peel parchment Spread cup mint whip cream cake layer second cake layer Spread remain mint whip cream side cake Sprinkle sweetened coconut AHEAD day ahead Cover cake dome refrigerate
6,Coconut Pineapple Cake cup cake flour selfrise teaspoon salt large egg room temperature cup sugar teaspoon vanilla stick tablespoon unsalted butter melt cool ounce crushed pineapple include juice tablespoon sugar tablespoon cornstarch teaspoon fresh lemon juice cup water cup sugar tablespoon light rum Coconut buttercream cup fresh coconut shaving crack shave fresh coconut cup sweeten flaked coconut oz package Sift flour salt bowl Heat egg sugar large metal bowl set pot simmer water gently whisk constantly lukewarm Remove bowl heat add vanilla beat electric mixer mediumhigh speed thick pale triple volume minute stand mixer minute hand hold Sift flour salt egg batch fold gently thoroughly batch Fold melt butter combined Divide batter evenly cake pan smooth top Bake cake middle oven tester come clean cake golden minute cool pan rack minute invert rack cool completely stir fill ingredient heavy saucepan cornstarch dissolve Bring boil stirring constantly simmer stir minute Cool fill completely stir occasionally Bring water sugar boil small heavy saucepan stir sugar dissolve Remove heat stir rum transfer small bowl chill ready use Trim edge cake necessary cut horizontally half long serrate knife form total thin layer cake layer cut cake plate brush rum syrup spread half pineapple fill cake layer brush syrup spread cup butter cream cake layer brush syrup spread remain pineapple fourth layer cut brush remain syrup Frost side cake remain butter cream coat coconut
7,Coconut Rum Cake cups allpurpose flour teaspoon bake powder teaspoon salt large egg plus large yolk cup sugar teaspoon pure vanilla extract stick unsalted butter melt cool cup wellstirre sweeten cream coconut Coco López medium coconut teaspoon confectioner sugar tablespoon cream cheese soften tablespoon wellstirre sweeten cream coconut tablespoon dark rum teaspoon pure vanilla extract tablespoon heavy cream cup confectioner sugar Equipment inch round cake pan inch deep adjustableblade slicer whisk flour cup bake powder salt Whisk egg yolk sugar vanilla large bowl gradually whisk flour mixture combine whisk butter combine Pour cake pan rap pan counter expel air bubble Bake golden brown cake start pull away pan minute cool pan rack minute leave oven Invert cake rack discard parchment cool minute generously brush warm cake cream coconut allow soak brush Cool completely Pierce softest eye coconut small screwdriver drain discard liquid Bake coconut shallow baking pan minute leave oven Break shell hammer pry flesh shell screwdriver thinly shave coconut slicer measure cup toss confectioner sugar spread layer baking sheet Bake dry golden tip color minute Shave bake remain coconut confectioner sugar serve freeze use Cool coconut completely crisp cools Beat cream cheese cream coconut rum vanilla tablespoon cream electric mixer smooth beat confectioner sugar Icing smooth slightly runny stir remain tablespoon cream necessary Smooth ice cool cake allow drip coconut sliver
8,Coconut Sour Cream Cake cup sour cream cup can cream coconut Coco López large egg cup vegetable oil tablespoon fresh lemon juice ounce box white cake mix cup flake sweeten coconut toast Bake cake golden brown tester insert center come clean minute blend remain cup sour cream remain cup cream coconut small bowl Spread mixture evenly warm cake Return cake oven bake minute long sprinkle coconut Place pan rack cool cake completely
9,Coconut Spice Cake cup plus tablespoon sift unbleache purpose flour teaspoon bake powder teaspoon ground ginger teaspoon bake soda teaspoon salt teaspoon ground cinnamon cup stick unsalted butter room temperature cup sugar eggs cup plus tablespoon light unsulfured molasse tablespoon grate orange peel teaspoon vanilla extract cup buttermilk cup shred sweeten coconut toast cup dice crystallize ginger ounce ounce cream cheese room temperature cup stick unsalted butter room temperature tablespoon grate orange peel teaspoon vanilla extract pound box powdered sugar cup mince crystallize ginger scant ounce cup shred sweeten coconut toast tropical fruit pineapple papaya mango cut bitesize piece divide batter prepared pan Bake cake begin pull away side pan minute cool pan rack minute Invert cake rack remove parchment cool completely electric mixer beat cream cheese butter smooth Mix orange peel vanilla Beat sugar Mix ginger Place cake layer platter flat Spread ice Sprinkle cup coconut second layer flat Spread remain ice side cake Arrange remain coconut edge cake prepare day ahead Chill ice set wrap lightly plastic refrigerate Bring room temperature Place fruit base cake
