Primary,Secondary,Tertiary
vanilla extract,pinch salt,cocoa powder for dusting
salt,package white cake mix,raw pistachios toasted and chopped
baking soda,ground nutmeg,rhubarb stalks trimmed
white sugar,confectioners sugar,dried rose petals
eggs,Nonstick vegetable oil spray,raw pistachios toasted and chopped
allpurpose flour,unsalted butter room temperature,grapefruit peeled and segmented juices reserved
baking powder,unsweetened cocoa powder,milk more as needed
ground cinnamon,vanilla,For the caramel
butter,package cream cheese softened,For the crepe batter
milk,confectioners sugar,For finishing
vegetable oil,confectioners sugar,Lightly sweetened whipped cream for garnish optional
package yellow cake mix,unsweetened cocoa powder,Fresh berries for garnish optional
chopped walnuts,ground cloves,finely chopped lime zest
water,flaked coconut,to milk
egg,ground nutmeg,Sugar honeybees for decorating optional
large eggs,package instant vanilla pudding mix,package lemon Bundt cake mix
buttermilk,package cream cheese,milk at room temperature
butter softened,semisweet chocolate chips,Royal icing for decorating or confectioners sugar for dusting
chopped pecans,packed brown sugar,to large lemons
sugar,unsalted butter room temperature,Whipped cream for serving optional see note above
shortening,raisins,coarsely chopped blanched almonds
sour cream,almond extract,minced orange zest
Cake,brown sugar,large orange peeled and thinly sliced
yeast,unsalted butter room temperature,pomegranate seeds
,ground nutmeg,peeled and shredded carrots
,eggs beaten,toasted chopped walnuts
,brown sugar,ozg toasted flaked coconut more for garnish
,pure vanilla extract,dark chocolate melted and cooled
,unsweetened cocoa powder,Raspberry liqueur such as Chambord for drizzling
,cooking spray,Chocolate Chip Buttercream recipe follows
,ground allspice,Dark chocolate shavings for decoration
,ground cloves,dark chocolate melted and cooled
,large egg,semisweet dark chocolate finely chopped
,container frozen whipped topping thawed,butter extra for loaf pan
,boiling water,Granny Smith apples peeled and cored cut into inch dice and tossed with a little lemon juice
,can sweetened condensed milk,allpurpose flour extra for loaf pan
,unsalted butter softened,or grates fresh nutmeg about
,all purpose flour,toasted and chopped walnuts
,Frosting,Cream Cheese Icing recipe follows
,package chocolate cake mix,One package cream cheese at room temperature
,butter melted,unsalted butter at room temperature more for the pans
,heavy whipping cream,allpurpose flour more for the pans
,kosher salt,whole milk or heavy cream mixed with water
,cake flour,Butter for greasing the pans
,Pinch of salt,allpurpose flour more for pans
,almond extract,good cocoa powder
,Topping,buttermilk shaken
,almond extract,freshly brewed hot coffee
,cream of tartar,Chocolate Buttercream Frosting recipe follows
,egg whites,good semisweet chocolate recommended Callebaut
,whole milk,extralarge egg yolk at room temperature
,fresh lemon juice,marshmallows about
,granulated sugar,multicolored nonpareils
,ground cloves,extralarge eggs egg yolk
,unsweetened cocoa powder,frozen blueberries thawed
,raisins,Basic Sugar Glaze recipe follows
,brown sugar,about sour cream
,packed brown sugar,halfpints fresh blueberries picked through for stems
,ground ginger,ricotta cheese
,egg whites,One package butterscotch pudding mix
,margarine,grated carrots less than
,cinnamon,fresh whole eggs
,package instant chocolate pudding mix,raw finely ground carrots
,cornstarch,room temperature cream cheese
,ground allspice,room temperature margarine
,unsweetened cocoa powder,approximately allpurpose flour extra for pan
,large eggs separated,grated carrots medium grate approximately medium
,Powdered sugar,freshly ground nutmeg
,lemon extract,sugar approximately
,package lemon cake mix,dark brown sugar approximately firmly packed
,orange juice,finely grated carrots about carrots
,ground ginger,cream cheese cut into cubes at room temperature
,package instant vanilla pudding mix,unsalted butter cut into cubes at room temperature
,powdered sugar,heavy cream cold
,granulated sugar,semisweet mini chocolate chips
,lemon juice,bittersweet chocolate chopped into small pieces
,cake flour,heavy cream cold
,confectioners sugar,sweet butter soft
,can cherry pie filling,sifted powdered sugar
,unsalted butter softened,freshly squeezed orange juice finely grated zest
,confectioners sugar,Dutchprocessed cocoa powder
,container frozen whipped topping thawed,egg large yolks at room temperature
,heavy cream,bittersweet chocolate roughly chopped
,cream of tartar,bittersweet or semisweet chocolate finely chopped
,flaked coconut,butter room temperature more for greasing the pan
,large egg yolk,allpurpose flour more for the pan
,vanilla bean split lengthwise,ground nutmeg or allspice
,cake flour,medium zucchini grated and squeezed dry
,large egg yolks,flex highratio liquified cake shortening
,granulated sugar,coconut rum
,Filling,coconut flakes
,egg beaten,Swiss Meringue Buttercream recipe follows
,fresh lemon juice,egg whites extralarge eggs
,egg yolks,chopped walnuts more for garnish
,egg whites,One can pineapple rings drained reserve the liquid for the frosting and chopped into inch pieces
,Icing,reserved pineapple juice from the canned pineapple
,can crushed pineapple with juice,cardamom
,can evaporated milk,lowfat percent Greekstyle yogurt
,vanilla,percent lowfat milk
,kosher salt,currants soaked in hot water for minute drained
,unsweetened cocoa powder,chopped semisweet or bittersweet chocolate
,package devils food cake mix,Confectioners sugar andor cocoa powder for dusting
,egg yolks,Serving suggestion Really Vanilly Whipped Cream recipe follows or ice cream
,sifted allpurpose flour,heavy or whipping cream
,orange juice,pure vanilla paste or extract
,large egg yolks,unsalted butter at room temperature more for the pans
,kosher salt,allpurpose flour more for the pans See Cooks Note
,egg yolk,rainbow sprinkles or jimmies more for decorating
,packed light brown sugar,Pinch fine salt
,cake flour,Mint chocolate chip ice cream for serving
,heavy whipping cream,Nonstick cooking spray or butter for preparing the baking pan
,evaporated milk,One box classic yellow cake mix
,egg whites,confectioners sugar more for garnish
,can crushed pineapple drained,One package cream cheese room temperature
,packed brown sugar,vanilla ice cream slightly softened
,powdered sugar,large peanut butter candies roughly chopped
,large egg yolks,chocolate ice cream slightly softened
,unsalted butter,chocolate candies such as M and Ms roughly chopped
,all purpose flour,chocolate chip ice cream slightly softened
,heavy cream,Chocolate shell ice cream sauce the type that hardens such as Smuckers Magic Shell for covering the top
,ground allspice,Three packages cream cheese softened
,whole milk,large eggs large egg yolks
,butter melted,Purple food coloring as needed
,semisweet chocolate chips,Yellow food coloring as needed
,egg yolks,Green food coloring as needed
,unsweetened cocoa powder,Whipped cream for garnish
,light corn syrup,Chocolate curls for garnish
,cake flour,grated lemon zest to large lemons
,large eggs separated,freshly squeezed lemon juice divided
,orange juice,lemonlime soda such as Up
,Glaze,lime zest
,confectioners sugar,Nonstick baking spray for spraying pan
,eggs beaten,lemon zest dried for at least minutes more for sprinkling
,lemon juice,lime zest dried for at least minutes more for sprinkling
,all purpose flour,Blackberries for serving
,large eggs room temperature,butter softened at room temperature
,vanilla,percent milk
,granulated sugar,package frozen raspberries in syrup
,all purpose flour,fresh lemon juice or to taste
,confectioners sugar,whole wheat pastry flour
,confectioners sugar,Fine salt
,confectioners sugar for dusting,canned crushed pineapple in fruit juice
,powdered sugar,medium carrots peeled and grated about
,mayonnaise,Light Cream Cheese Frosting recipe follows
,unsweetened cocoa powder,reducedfat cream cheese at room temperature
,butter melted,fresh lemon zest
,unsalted butter,Vegetable spray for greasing baking pan
,package frozen whipped topping thawed,Allpurpose flour for dusting baking pan
,raisins,package fudge marble cake mix or plain vanilla
,egg whites,package instant chocolate pudding
,large egg whites,cold whole milk
,package cream cheese room temperature,prepared whipped cream
,granulated sugar,unsalted butter cubed and at room temperature more for the pan
,large eggs separated,cake flour sifted more for the pan
,cream of tartar,bag fresh or frozen cranberries thawed if frozen
,packed brown sugar,large eggs egg yolks
,egg white,finely grated Meyer lemon zest
,evaporated milk,Meyer lemon juice
,sifted allpurpose flour,Italian mascarpone cheese
,can crushed pineapple with juice,coffee liqueur such as Kahlua
,confectioners sugar,unsweetened cocoa powder such as Pernigotti
,unsalted butter,packages chocolate chip cookies such as Tates Bake Shop
,honey,Shaved semisweet chocolate for garnish
,honey,light brown sugar lightly packed
,packages cream cheese room temperature,coarsely chopped walnuts optional
,plain yogurt,Walnut halves for decorating optional
,kosher salt,freshly squeezed orange juice divided
,freshly grated nutmeg,bag microwave kettle popcorn
,heavy cream,unsalted butter more for greasing the pan
,flaked coconut,marshmallows
,egg yolks,candy coated chocolate
,eggs beaten,Nonstick baking spray
,unsweetened cocoa powder,pecan pieces reserve
,large egg whites,gold rum Bacardi
,grated lemon peel,box classic yellow cake mix recommended Duncan Hines Moist Deluxe
,whole milk,small box sugarfree instant vanilla pudding mix recommended JellO
,cinnamon,gold rum recommended Bacardi
,chilled heavy cream,box chocolate cake mix the ingredients called for in the directions
,egg whites,Canola oil for preparing the pan
,ground nutmeg,ricotta cheese
,packed light brown sugar,One box instant chocolate pudding mix
,olive oil,Butter for greasing
,lemon extract,pecans chopped finely
,selfrising flour,real maple syrup
,brown sugar,Vegetable oil for the pans
,distilled white vinegar,white distilled vinegar
,sifted confectioners sugar,Crushed pecans for garnish
,margarine,fresh strawberries hulled and sliced
,lemon juice,unsalted butter softened more for greasing
,package confectioners sugar,strawberries more to garnish optional
,packed brown sugar,Dash salt
,hot water,unsweetened cocoa such as Hersheys
,package instant lemon pudding mix,Pinch salt
,sugar divided,shredded sweetened coconut such as Bakers Angel Flake Coconut
,packed golden brown sugar,unsalted butter more for the pan
,ground ginger,selfrising flour more for the pan
,fresh lemon juice,allpurpose flour sifted after measuring
,heavy cream,ground Ceylon cinnamon
,unsalted butter softened,peanut oil
,cake flour,pecans chopped not too finely
,can crushed pineapple drained,Frosting recipe follows
,package strawberry flavored JellO,unsalted butter chilled and cut into inch pieces
,egg yolks,cream cheese chilled
,chopped walnuts optional,cake flour extra for pan
,butter melted,Nonstick cooking spray for the cake pan
,mashed bananas,allpurpose flour more for dusting the cake pan
,unsweetened cocoa powder,orange liqueur recommended Grand Marnier
,margarine softened,loaf frozen cake thawed
,fresh lemon juice,package JELLO Cherry Flavor Gelatin
,fresh lemon juice,BAKERS SemiSweet Chocolate
,heavy cream,thawed COOL WHIP Whipped Topping divided
,large egg yolks,cherry pie filling divided
,eggs separated,dash pure vanilla extract
,unsalted butter,packages devils food cake mix such as Duncan Hines
,unsalted butter softened,cans prepared chocolate frosting
,golden raisins,container whipped cream topping or more to taste
,ground cloves,package ripe strawberries sliced
,cream cheese,unsweetened cocoa powder or more to taste
,lemon zest,chocolatehazelnut spread such as Nutella or more to taste
,ground ginger,lemonlime carbonated beverage such as Up
,grated nutmeg,celtic sea salt
,grated carrots,grapeseed oil
,poppy seeds,ricotta cheese
,Pinch of kosher salt,apples peeled cored and chopped
,heavy whipping cream,mint chocolate chips
,brandy,butter sliced
,lemon zest,allpurpose flour or as needed
,lemon juice,white sugar or more to taste
,shredded coconut,firm pear thinly sliced
,grated orange zest,sliced blanched almonds
,packages cream cheese softened,can pitted cherries in syrup thoroughly drained
,unsalted butter,Tres Leches Mixture
,dates pitted and chopped,package chocolate cake mix such as Duncan Hines
,container sour cream,bag shredded coconut
,all purpose flour,finely chopped blanched almonds
,powdered sugar,blanched almonds
,finely grated orange peel,finely chopped blanched almonds
,kosher salt,any flavor fruit jam
,unsalted butter,can apricot halves drained
,packed golden brown sugar,can sliced beets drained with liquid reserved
,ground allspice,cold cooked quinoa
,boiling water,can creamstyle corn
,sweetened flaked coconut,quartered strawberries
,confectioners sugar for dusting,overripe bananas mashed
,grated lemon peel,package cake mix with candy bits such as Pillsbury Funfetti or more to taste
,cornstarch,egg yolk beaten
,ground cardamom,packages white cake mix
,finely chopped walnuts,clear vanilla extract
,light corn syrup,blue food coloring
,cornstarch,fluffy white frosting
,confectioners sugar,white chocolate chips or as needed
,flour,white sugar or as needed
,pure vanilla extract,inch round paper or cardboard stencil
,confectioners sugar,package angel food cake mix such as Betty Crocker
,orange juice,dash red food coloring or as needed
,vegetable shortening,inch prepared angel food cake
,packed brown sugar,ice cream
,egg yolks,container whipped topping such as Cool Whip thawed
,hot water,containers lemon yogurt
,butter room temperature,granular sucrolose sweetener
,packages instant vanilla pudding mix,Cupcakes
,container frozen whipped topping thawed,drops orange food coloring
,shredded carrots,tube black decorating gel
,package German chocolate cake mix,large apples peeled cored and sliced
,unsweetened cocoa powder,candied lemon peel chopped optional
,coconut extract,Whipped cream for serving
,orange zest,Ground cinnamon for serving
,can pumpkin puree,whole bran cereal or wheat germ
,cake flour,large apples
,powdered sugar,diced apple without peel
,fresh orange juice,butter cut into inch chunks
,granulated sugar,grated apple
,large eggs separated,grated lime zest
,heavy cream,apple peeled cored and sliced
,cake flour not selfrising,apples peeled and chopped
,lemon extract,apples sliced
,grated lemon peel,apples peeled cored and shredded
,grated lemon zest,apples peeled cored and coarsely chopped
,light brown sugar,peeled and chopped apples
,butter melted,peeled cored and shredded apple
,package instant vanilla pudding mix,HERSHEYS Cinnamon Chips
,cold water,apple peeled and chopped
,eggs room temperature,apples peeled cored and chopped
,cake flour,flour or as needed
,raisins,vanilla yogurt
,packed brown sugar,diced Granny Smith apple
,melted butter,package reducedfat cream cheese
,squares unsweetened chocolate melted,apples peeled cored and chopped
,margarine,peeled and diced tart apples
,cold water,margarita mix
,unsalted butter softened,diced apple without peel
,instant espresso powder,brown sugar optional
,unsalted butter room temperature,medium sized apples sliced
,granulated sugar,package apples and cinnamon muffin mix
,ground ginger,medium Granny Smith apples peeled cored and chopped
,freshly grated nutmeg,apples peeled cored and shredded
,Whipped cream,apple peeled cored and diced
,grated orange peel,tart apple such as Granny Smith peeled and diced
,wellchilled heavy cream,peanut butter chips
,unsalted butter,Peanut Butter Glaze
,whipping cream,cinnamon divided
,grated orange zest,cold butter cut into pieces
,mildflavored light molasses,medium tart apples peeled cored and sliced thinly
,chilled whipping cream,Stevia In The Raw
,cinnamon,APPLE FILLING
,ground ginger,apple peeled cored and sliced
,poppy seeds,apple jelly
,fresh lemon juice,apples peeled cored and chopped
,unflavored gelatin,Cake Layers
,applesauce,chopped dried apples
,whole milk,water or as needed
,unsalted butter room temperature,diced apples
,cake flour,chopped peeled apple
,halfandhalf,sliced Macintosh apples
,grated orange peel,chilled applesauce
,cornstarch,raisins coarsely chopped
,unsalted butter room temperature,panko Japanese bread crumbs
,ground nutmeg,toasted sesame seeds
,butter room temperature,chilegarlic sauce such as Sriracha
,unsalted butter softened,grated fresh ginger root
,heavy whipping cream,sesame oil
,semisweet chocolate chips,fresh crabmeat well drained
,package spice cake mix,panko Japanese bread crumbs
,can evaporated milk,arugula leaves
,boiling water,chilegarlic sauce such as Sriracha
,package prepared chocolate frosting,rice vinegar
,package instant pistachio pudding mix,can nonfat evaporated milk
,powdered sugar,grapeseed oil
,granulated sugar,peeled and finely chopped Bartlett pears
,chilled heavy whipping cream,rhubarb cut into inch slices
,unsalted butter,tapioca
,cornstarch,white sugar optional
,unsalted butter room temperature,pinch ground nutmeg optional
,Edible flowers for garnish optional,milk at room temperature
,large egg whites,milk at room temperature
,powdered sugar sifted,clear vanilla extract
,unsalted butter melted,container whipped topping such as Cool Whip
,cream cheese softened,avocados peeled pitted and pureed
,cinnamon,package shredded Mexicanstyle cheese
,unsalted butter softened,selfrising corn meal mix
,confectioners sugar,baking mix like Bisquick
,molasses,pecans chopped
,unsalted butter softened,package Neufchatel cheese
,semisweet chocolate chopped,crushed pineapple
,chilled whipping cream,Cream Filling
,cake flour,cocoa powder or more to taste
,honey,jar carrot baby food
,doubleacting baking powder,jar apricot baby food
,chilled whipping cream,jar applesauce baby food
,eggs separated,jar apricot baby food
,powdered sugar,jar plum baby food
,unsweetened Dutchprocess cocoa powder,jar applesauce baby food
,ground cardamom,jar carrot baby food
,pure vanilla extract,jar apricot baby food
,pure vanilla extract,bars Baby Ruth candy bars chopped
,cream of tartar,bars Baby Ruth candy bars chopped
,packed golden brown sugar,slices bacon
,orange juice,package white cake mix batter prepared as directed on package
,brown sugar,package brownie mix
,confectioners sugar,cans vanilla frosting
,flaked coconut,yellow food coloring
,boiling water,vanilla wafer cookies
,grated carrots,large roll of red fruit leather
,fresh blueberries,caramels with stripes
